This file was created using the 202109 Bloomberg database.

Missing data are indicated by -99.99.



X1,Mkt-RF,SMB,HML,RF
199304    ,1.92    ,3.46    ,1.93    ,0.24
199305    ,0.91    ,0.29    ,1.50    ,0.22
199306   ,-3.23   ,-1.58    ,1.53    ,0.25
199307    ,1.03   ,-1.10    ,3.00    ,0.24
199308    ,8.61    ,0.53    ,2.31    ,0.25
199309   ,-0.64    ,1.01    ,0.04    ,0.26
199310    ,2.46   ,-1.96    ,0.76    ,0.22
199311   ,-2.31    ,0.86   ,-1.59    ,0.25
199312    ,7.16   ,-2.61    ,2.61    ,0.23
199401    ,5.89    ,5.53    ,4.34    ,0.25
199402   ,-3.46    ,4.00    ,1.01    ,0.21
199403   ,-2.80    ,0.97    ,1.79    ,0.27
199404    ,3.79   ,-0.74    ,1.48    ,0.27
199405   ,-4.00    ,1.89    ,0.53    ,0.32
199406   ,-1.16   ,-0.22   ,-1.00    ,0.31
199407    ,4.66   ,-3.05    ,1.06    ,0.28
199408    ,1.90   ,-0.46   ,-2.62    ,0.37
199409   ,-3.58    ,2.64    ,0.31    ,0.37
199410    ,3.59   ,-3.02   ,-0.33    ,0.38
199411   ,-4.54   ,-0.41    ,0.45    ,0.37
199412    ,0.02    ,0.29   ,-0.58    ,0.44
199501   ,-1.55    ,1.51    ,0.96    ,0.42
199502    ,1.97   ,-0.90   ,-0.76    ,0.40
199503    ,3.45   ,-1.61   ,-2.47    ,0.46
199504    ,2.56   ,-1.67    ,0.40    ,0.45
199505    ,1.76   ,-0.28    ,0.46    ,0.54
199506    ,1.00   ,-0.06   ,-0.63    ,0.47
199507    ,3.99   ,-1.40   ,-1.03    ,0.45
199508   ,-4.05    ,1.21   ,-2.29    ,0.47
199509    ,2.37   ,-0.48   ,-1.93    ,0.43
199510   ,-0.71   ,-0.89   ,-0.29    ,0.47
199511   ,-0.32   ,-3.27    ,0.78    ,0.42
199512    ,1.84   ,-1.18    ,1.03    ,0.49
199601    ,0.44    ,0.09    ,0.12    ,0.43
199602    ,1.88    ,1.41    ,0.21    ,0.39
199603    ,0.89    ,0.27    ,0.51    ,0.39
199604    ,0.62    ,0.75    ,0.37    ,0.46
199605    ,1.50    ,1.78   ,-0.28    ,0.42
199606    ,0.22   ,-0.63    ,0.33    ,0.40
199607   ,-1.79   ,-0.39    ,0.97    ,0.45
199608    ,2.26   ,-0.69   ,-1.49    ,0.41
199609    ,1.17   ,-2.67    ,0.49    ,0.44
199610    ,1.55    ,1.01   ,-1.30    ,0.42
199611    ,4.08   ,-2.71    ,1.01    ,0.41
199612    ,2.01   ,-0.12    ,0.75    ,0.46
199701   ,-0.35    ,0.69    ,2.01    ,0.45
199702    ,0.68    ,0.62   ,-0.25    ,0.39
199703    ,2.04   ,-1.19    ,1.09    ,0.43
199704   ,-0.75   ,-1.42    ,0.19    ,0.43
199705    ,4.14   ,-1.22    ,1.10    ,0.49
199706    ,3.66   ,-3.66    ,1.04    ,0.37
199707    ,3.12   ,-5.85    ,1.81    ,0.43
199708   ,-5.29    ,6.12   ,-0.87    ,0.41
199709    ,8.74   ,-4.01    ,2.67    ,0.44
199710   ,-4.88    ,4.06    ,0.89    ,0.42
199711    ,0.75   ,-2.90   ,-0.49    ,0.39
199712    ,2.26   ,-3.77    ,1.95    ,0.48
199801    ,3.16   ,-1.37    ,0.46    ,0.43
199802    ,7.49   ,-1.82    ,1.00    ,0.39
199803    ,6.91    ,1.09    ,4.53    ,0.39
199804    ,2.19    ,1.54   ,-0.56    ,0.43
199805    ,2.22    ,2.14    ,1.01    ,0.40
199806   ,-0.50   ,-3.19   ,-1.88    ,0.41
199807    ,1.53   ,-3.68    ,1.50    ,0.40
199808  ,-12.08    ,1.72   ,-2.51    ,0.43
199809   ,-4.84    ,1.19   ,-2.70    ,0.46
199810    ,6.59   ,-5.96    ,0.83    ,0.32
199811    ,4.24   ,-3.07    ,0.72    ,0.31
199812    ,2.88   ,-2.53   ,-1.89    ,0.38
199901   ,-0.43   ,-0.16   ,-2.07    ,0.35
199902   ,-2.19    ,2.70   ,-1.10    ,0.35
199903   ,-0.03   ,-0.27    ,1.38    ,0.43
199904    ,2.95    ,0.82    ,1.87    ,0.37
199905   ,-3.80    ,4.48    ,0.11    ,0.34
199906    ,1.71   ,-0.04    ,0.52    ,0.40
199907    ,1.12    ,3.36    ,0.35    ,0.38
199908    ,1.34    ,3.92   ,-1.09    ,0.39
199909   ,-0.32    ,2.16   ,-1.80    ,0.39
199910    ,1.72   ,-1.11   ,-3.81    ,0.39
199911    ,2.76    ,1.14   ,-9.05    ,0.36
199912    ,9.26   ,-4.82   ,-4.26    ,0.44
200001   ,-7.12    ,9.39   ,-6.12    ,0.41
200002    ,5.87    ,1.73   ,-9.50    ,0.43
200003    ,0.66   ,-5.25    ,3.23    ,0.47
200004   ,-5.58   ,-5.42    ,5.80    ,0.46
200005   ,-0.07   ,-0.12    ,6.06    ,0.50
200006    ,0.68    ,0.00    ,3.21    ,0.40
200007   ,-1.58   ,-1.03    ,3.30    ,0.48
200008   ,-1.57    ,0.87   ,-0.38    ,0.50
200009   ,-4.99    ,2.00    ,2.64    ,0.51
200010   ,-2.70   ,-6.96    ,7.63    ,0.56
200011   ,-4.55   ,-1.41   ,11.16    ,0.51
200012    ,5.68    ,0.42    ,3.32    ,0.50
200101    ,0.39    ,1.74    ,0.69    ,0.54
200102   ,-8.69    ,4.72    ,9.42    ,0.38
200103   ,-9.34   ,-1.03    ,5.83    ,0.42
200104    ,7.40   ,-3.79   ,-3.15    ,0.39
200105   ,-5.03    ,2.64    ,4.23    ,0.32
200106   ,-3.65   ,-1.00    ,6.21    ,0.28
200107   ,-0.70   ,-2.21    ,3.81    ,0.30
200108   ,-2.03    ,2.04    ,4.14    ,0.31
200109  ,-11.56   ,-5.25    ,2.34    ,0.28
200110    ,3.24    ,1.79   ,-3.29    ,0.22
200111    ,4.09    ,1.80   ,-1.10    ,0.17
200112    ,1.82   ,-1.83    ,1.40    ,0.15
200201   ,-4.70    ,2.94    ,1.83    ,0.14
200202    ,0.41   ,-0.35    ,1.74    ,0.13
200203    ,5.08   ,-0.41    ,0.74    ,0.13
200204   ,-0.32    ,2.92    ,4.76    ,0.15
200205    ,0.43    ,1.73    ,4.70    ,0.14
200206   ,-2.48    ,1.12    ,2.42    ,0.13
200207  ,-10.59    ,1.76    ,3.15    ,0.15
200208    ,0.14   ,-2.24    ,2.11    ,0.14
200209  ,-13.17    ,3.00   ,-1.90    ,0.14
200210    ,8.58   ,-6.73   ,-0.84    ,0.14
200211    ,4.89   ,-0.78    ,2.16    ,0.12
200212   ,-2.76    ,3.57    ,3.24    ,0.11
200301   ,-3.45    ,2.08    ,2.52    ,0.10
200302   ,-3.35    ,0.33    ,1.66    ,0.09
200303   ,-1.49    ,0.82   ,-0.51    ,0.10
200304   ,13.12   ,-2.10    ,0.24    ,0.10
200305    ,7.67    ,2.71    ,1.13    ,0.09
200306    ,1.17    ,2.00    ,0.41    ,0.10
200307    ,1.71    ,0.90    ,3.88    ,0.07
200308    ,0.19    ,3.11    ,0.01    ,0.07
200309    ,2.80    ,2.71    ,0.07    ,0.08
200310    ,6.20   ,-1.20    ,3.66    ,0.07
200311    ,4.49    ,0.00    ,0.41    ,0.07
200312    ,7.32   ,-2.01    ,0.49    ,0.08
200401    ,2.47    ,3.68    ,2.39    ,0.07
200402    ,3.10    ,1.06    ,0.37    ,0.06
200403   ,-3.32    ,0.88   ,-0.25    ,0.09
200404   ,-1.23   ,-0.96    ,0.86    ,0.08
200405    ,1.42   ,-0.99   ,-0.84    ,0.06
200406    ,1.99    ,1.09    ,0.98    ,0.08
200407   ,-3.12    ,0.08    ,0.45    ,0.10
200408    ,0.37   ,-0.46    ,1.32    ,0.11
200409    ,4.01    ,0.22    ,0.74    ,0.11
200410    ,4.06    ,0.04    ,0.69    ,0.11
200411    ,6.86    ,2.09    ,1.73    ,0.15
200412    ,4.25    ,0.37    ,0.72    ,0.16
200501   ,-1.25    ,3.56    ,1.57    ,0.16
200502    ,4.59    ,0.77    ,1.04    ,0.16
200503   ,-2.57   ,-0.17    ,0.24    ,0.21
200504   ,-2.59    ,0.54   ,-0.11    ,0.21
200505   ,-0.03   ,-1.66    ,1.18    ,0.24
200506    ,1.53    ,0.95    ,1.64    ,0.23
200507    ,3.82    ,0.34    ,1.34    ,0.24
200508    ,2.02    ,2.13   ,-0.11    ,0.30
200509    ,1.48   ,-0.35    ,0.12    ,0.29
200510   ,-3.41   ,-1.19    ,0.41    ,0.27
200511    ,1.29   ,-0.29    ,0.56    ,0.31
200512    ,3.80    ,0.61    ,0.44    ,0.32
200601    ,6.38    ,2.24    ,1.74    ,0.35
200602    ,0.55    ,2.10    ,1.45    ,0.34
200603    ,3.99    ,0.74    ,1.71    ,0.37
200604    ,5.25    ,1.83   ,-0.32    ,0.36
200605   ,-3.64   ,-0.95   ,-0.55    ,0.43
200606   ,-0.21   ,-1.61   ,-0.51    ,0.40
200607    ,1.01   ,-1.80    ,1.61    ,0.40
200608    ,2.70   ,-0.27    ,0.39    ,0.42
200609    ,0.69    ,0.08    ,0.32    ,0.41
200610    ,3.82    ,0.09    ,1.50    ,0.41
200611    ,3.76    ,2.58    ,0.34    ,0.42
200612    ,3.32    ,0.97    ,0.55    ,0.40
200701    ,0.61    ,1.88    ,0.77    ,0.44
200702   ,-0.51    ,1.23   ,-0.09    ,0.38
200703    ,3.71    ,0.68    ,0.04    ,0.43
200704    ,5.54   ,-0.26    ,1.26    ,0.44
200705    ,1.56   ,-0.72    ,0.56    ,0.41
200706   ,-0.16   ,-0.66    ,0.40    ,0.40
200707   ,-2.22    ,1.81   ,-0.36    ,0.40
200708   ,-2.08   ,-3.16   ,-0.06    ,0.42
200709    ,4.82   ,-3.72   ,-0.85    ,0.32
200710    ,4.34    ,0.42   ,-0.92    ,0.32
200711   ,-4.03   ,-4.77   ,-1.76    ,0.34
200712   ,-2.10   ,-0.86    ,1.22    ,0.27
200801  ,-10.01    ,0.38   ,-0.01    ,0.21
200802    ,1.96    ,2.71   ,-0.51    ,0.13
200803    ,0.26   ,-0.57    ,2.37    ,0.17
200804    ,4.41   ,-2.55   ,-0.01    ,0.18
200805    ,0.85    ,0.48   ,-1.17    ,0.18
200806   ,-8.68    ,1.68   ,-0.70    ,0.17
200807   ,-3.83   ,-2.16    ,0.95    ,0.15
200808   ,-4.57    ,0.11   ,-0.09    ,0.13
200809  ,-15.07   ,-3.10    ,0.91    ,0.15
200810  ,-22.02   ,-4.91   ,-3.53    ,0.08
200811   ,-7.18   ,-0.99   ,-3.63    ,0.03
200812    ,6.70   ,-1.47    ,1.21    ,0.00
200901  ,-10.99    ,4.92   ,-4.05    ,0.00
200902   ,-9.96    ,4.55   ,-4.23    ,0.01
200903    ,6.94   ,-2.54    ,1.46    ,0.02
200904   ,13.67    ,1.81    ,6.66    ,0.01
200905   ,12.86    ,1.27   ,-1.24    ,0.00
200906   ,-1.87    ,1.56   ,-1.19    ,0.01
200907   ,10.18   ,-3.92    ,3.78    ,0.01
200908    ,5.65    ,1.85    ,7.53    ,0.01
200909    ,5.43    ,1.68    ,1.13    ,0.01
200910   ,-1.85    ,1.63   ,-3.28    ,0.00
200911    ,3.00   ,-2.04   ,-1.22    ,0.00
200912    ,0.94   ,-1.82   ,-1.24    ,0.01
201001   ,-5.28    ,4.70   ,-1.87    ,0.00
201002   ,-2.10   ,-0.71   ,-1.79    ,0.00
201003    ,6.41   ,-1.13    ,4.27    ,0.01
201004   ,-1.66    ,3.19   ,-0.29    ,0.01
201005  ,-12.05   ,-0.20   ,-3.59    ,0.01
201006   ,-0.98    ,0.11   ,-2.22    ,0.01
201007   ,11.88   ,-2.04    ,4.59    ,0.01
201008   ,-4.26   ,-0.11   ,-2.69    ,0.01
201009   ,11.56    ,0.98   ,-0.26    ,0.01
201010    ,4.98    ,0.49    ,0.07    ,0.01
201011   ,-8.03    ,1.15   ,-3.42    ,0.01
201012    ,9.04    ,2.26    ,1.17    ,0.01
201101    ,3.68   ,-0.43    ,5.47    ,0.01
201102    ,3.06   ,-1.15    ,0.70    ,0.01
201103   ,-0.17    ,2.17   ,-1.85    ,0.01
201104    ,8.14   ,-1.12   ,-0.76    ,0.00
201105   ,-3.06    ,0.16   ,-2.25    ,0.00
201106   ,-2.05   ,-1.36    ,0.08    ,0.00
201107   ,-3.33    ,0.32   ,-4.05    ,0.00
201108  ,-10.10    ,0.76   ,-3.79    ,0.01
201109  ,-11.61   ,-1.08   ,-1.88    ,0.00
201110   ,10.97   ,-3.40   ,-1.23    ,0.00
201111   ,-4.84   ,-2.55   ,-3.36    ,0.00
201112   ,-2.20   ,-0.98   ,-1.06    ,0.00
201201    ,5.68    ,2.75    ,1.06    ,0.00
201202    ,6.41    ,1.52   ,-0.36    ,0.00
201203    ,0.02    ,0.66   ,-1.41    ,0.00
201204   ,-2.23    ,1.37   ,-4.19    ,0.00
201205  ,-12.32    ,0.20   ,-2.58    ,0.01
201206    ,7.13   ,-4.62    ,3.13    ,0.00
201207    ,0.56   ,-1.19   ,-2.58    ,0.00
201208    ,4.50   ,-0.18    ,3.19    ,0.01
201209    ,3.49    ,1.39    ,2.16    ,0.01
201210    ,1.66   ,-0.72    ,1.78    ,0.01
201211    ,2.27   ,-2.48   ,-0.58    ,0.01
201212    ,3.38    ,2.31    ,3.03    ,0.01
201301    ,6.20    ,0.39    ,4.33    ,0.00
201302   ,-2.49    ,2.05   ,-3.35    ,0.00
201303   ,-0.54   ,-0.46   ,-4.30    ,0.00
201304    ,4.16   ,-1.66    ,3.67    ,0.00
201305    ,1.05    ,1.07    ,2.82    ,0.00
201306   ,-4.64    ,2.30   ,-2.56    ,0.00
201307    ,7.45   ,-1.63    ,2.80    ,0.00
201308   ,-0.70    ,2.77    ,0.51    ,0.00
201309    ,7.05    ,0.18    ,1.38    ,0.00
201310    ,4.49   ,-0.18    ,4.39    ,0.00
201311    ,1.33    ,0.87   ,-0.42    ,0.00
201312    ,2.37    ,0.54   ,-0.20    ,0.00
201401   ,-3.03    ,3.57    ,2.58    ,0.00
201402    ,7.42    ,0.45    ,0.37    ,0.00
201403   ,-0.54    ,0.33    ,1.72    ,0.00
201404    ,1.77   ,-2.19    ,0.29    ,0.00
201405    ,0.77   ,-0.68   ,-0.41    ,0.00
201406   ,-0.12    ,0.12   ,-1.76    ,0.00
201407   ,-4.10   ,-0.43    ,0.40    ,0.00
201408   ,-0.02   ,-0.97   ,-1.01    ,0.00
201409   ,-3.79   ,-2.28   ,-0.44    ,0.00
201410   ,-2.70   ,-1.23   ,-3.09    ,0.00
201411    ,2.12   ,-1.35   ,-1.82    ,0.00
201412   ,-3.70    ,2.22   ,-2.35    ,0.00
201501   ,-0.31   ,-1.56   ,-3.52    ,0.00
201502    ,6.21    ,0.99    ,1.96    ,0.00
201503   ,-2.28   ,-0.51   ,-0.35    ,0.00
201504    ,4.79    ,2.18    ,0.33    ,0.00
201505   ,-0.15    ,1.66   ,-2.47    ,0.00
201506   ,-2.84    ,2.03    ,0.15    ,0.00
201507    ,2.39   ,-0.81   ,-2.65    ,0.00
201508   ,-6.02    ,3.70   ,-1.00    ,0.00
201509   ,-4.27    ,1.11   ,-3.63    ,0.00
201510    ,6.19   ,-2.97   ,-0.77    ,0.00
201511   ,-1.49    ,0.33   ,-2.80    ,0.00
201512   ,-1.86    ,3.77   ,-1.25    ,0.01
201601   ,-6.43   ,-0.76   ,-1.49    ,0.01
201602   ,-1.71    ,1.45    ,0.37    ,0.02
201603    ,6.70    ,1.71    ,1.19    ,0.02
201604    ,2.38   ,-0.64    ,3.35    ,0.01
201605   ,-0.38    ,1.53   ,-2.87    ,0.01
201606   ,-5.01   ,-2.39   ,-1.64    ,0.02
201607    ,4.44    ,1.54    ,0.21    ,0.02
201608    ,0.78    ,1.61    ,1.93    ,0.02
201609    ,0.95    ,0.92   ,-0.15    ,0.02
201610   ,-3.08   ,-0.77    ,6.36    ,0.02
201611   ,-2.50    ,0.89    ,1.92    ,0.01
201612    ,4.72   ,-0.83    ,1.99    ,0.03
201701    ,2.84    ,2.03    ,0.47    ,0.04
201702    ,0.68   ,-0.04   ,-2.60    ,0.04
201703    ,4.27   ,-1.30    ,0.50    ,0.03
201704    ,4.63    ,1.91   ,-1.30    ,0.05
201705    ,5.03    ,0.02   ,-0.79    ,0.06
201706   ,-0.67    ,1.55    ,2.03    ,0.06
201707    ,3.49    ,0.80    ,2.59    ,0.07
201708    ,0.11   ,-0.06   ,-0.71    ,0.09
201709    ,2.72   ,-0.12    ,0.47    ,0.09
201710    ,0.59   ,-0.96   ,-0.13    ,0.09
201711   ,-0.01   ,-0.38    ,1.29    ,0.08
201712    ,1.47    ,1.55    ,0.50    ,0.09
201801    ,5.52    ,0.80    ,1.10    ,0.11
201802   ,-5.35    ,1.22   ,-0.75    ,0.11
201803   ,-0.71   ,-0.56   ,-0.94    ,0.12
201804    ,2.20   ,-0.74    ,1.51    ,0.14
201805   ,-2.73    ,1.23   ,-4.99    ,0.14
201806   ,-0.92   ,-0.85   ,-1.56    ,0.14
201807    ,2.69   ,-1.91    ,0.40    ,0.16
201808   ,-2.65    ,0.88   ,-2.65    ,0.16
201809    ,0.12   ,-1.46    ,2.34    ,0.15
201810   ,-8.54   ,-1.70    ,1.47    ,0.19
201811   ,-1.31   ,-1.18   ,-0.57    ,0.18
201812   ,-4.59   ,-0.68    ,0.95    ,0.19
201901    ,6.19    ,0.59   ,-0.95    ,0.21
201902    ,2.93   ,-1.47   ,-1.23    ,0.18
201903    ,0.58   ,-1.76   ,-2.33    ,0.19
201904    ,3.70    ,0.10   ,-1.04    ,0.21
201905   ,-5.34    ,1.32   ,-1.54    ,0.21
201906    ,5.87   ,-2.64   ,-1.32    ,0.18
201907   ,-2.56   ,-1.28    ,0.09    ,0.19
201908   ,-2.40   ,-0.59   ,-1.96    ,0.16
201909    ,2.15   ,-0.89    ,3.08    ,0.18
201910    ,3.27    ,0.93   ,-0.50    ,0.15
201911    ,1.77    ,2.07   ,-2.24    ,0.12
201912    ,4.07    ,2.79    ,0.41    ,0.14
202001   ,-2.55    ,0.36   ,-2.88    ,0.13
202002   ,-8.98    ,0.29   ,-0.73    ,0.12
202003  ,-15.44   ,-4.22  ,-11.30    ,0.12
202004    ,6.70    ,5.04   ,-3.81    ,0.00
202005    ,5.43    ,1.21   ,-4.14    ,0.01
202006    ,4.04   ,-1.20    ,1.74    ,0.01
202007    ,3.99    ,2.69   ,-4.75    ,0.01
202008    ,4.95    ,2.91   ,-1.74    ,0.01
202009   ,-2.97    ,0.85   ,-3.74    ,0.01
202010   ,-4.72    ,1.21   ,-0.20    ,0.01
202011   ,16.62    ,0.30   ,10.76    ,0.01
202012    ,5.67    ,4.66   ,-1.76    ,0.01
202101   ,-1.25    ,1.66   ,-0.29    ,0.00
202102    ,2.60    ,0.87    ,5.73    ,0.00
202103    ,3.18   ,-1.97    ,3.47    ,0.00
202104    ,5.29    ,2.14   ,-3.19    ,0.00
202105    ,4.52   ,-0.99    ,2.06    ,0.00
202106   ,-1.66   ,-1.49   ,-2.50    ,0.00
202107    ,2.10    ,0.60   ,-2.98    ,0.00
202108    ,1.45    ,1.83   ,-1.18    ,0.00
202109   ,-4.99   ,-0.60    ,4.30    ,0.00
